Job Title,Role,Qualifications,Experience,location,Country,Work Type,Job Description,Salary Range,Benefits
Social Media Manager,Community Manager,BCA,3 to 14 Years,Tunis,Tunisia,Full-Time,"Community Managers build and engage online communities around a brand or product. They interact with community members, moderate discussions, and foster a sense of belonging and loyalty among community members.",$64K-$103K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Operations Manager,Supply Chain Manager,PhD,5 to 9 Years,New Delhi,India,Part-Time,"Supply Chain Managers manage the end-to-end supply chain process, from procurement to distribution. They optimize logistics, reduce costs, and ensure the efficient flow of products or services to meet customer demand.",$56K-$106K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Legal Counsel,Corporate Attorney,BA,5 to 14 Years,Ouagadougou,Burkina Faso,Intern,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.",$55K-$128K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Web Developer,Full-Stack Developer,BA,5 to 15 Years,Lilongwe,Malawi,Full-Time,"Full-Stack Developers are skilled in both frontend and backend development. They can work on all aspects of web application development, from creating user interfaces to designing databases and server infrastructure, providing end-to-end solutions.",$61K-$128K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Brand Manager,Brand Strategist,MCA,3 to 15 Years,Sucre (de jure),Bolivia,Part-Time,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.,$61K-$101K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Legal Assistant,Paralegal,PhD,3 to 9 Years,Warsaw,Poland,Contract,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.",$61K-$112K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
HR Coordinator,Benefits Coordinator,BBA,2 to 15 Years,Mogadishu,Somalia,Temporary,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.",$61K-$95K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Data Analyst,Business Intelligence Analyst,BA,4 to 8 Years,Road Town,British Virgin Islands,Temporary,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",$60K-$122K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Dental Hygienist,Periodontal Therapist,MCA,4 to 10 Years,Nuuk,Greenland,Intern,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.,$58K-$111K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Content Writer,Content Strategist,MCA,0 to 8 Years,Riyadh,Saudi Arabia,Full-Time,"Content Strategists develop and execute content strategies that align with business objectives. They plan content creation, distribution, and promotion to engage audiences and drive brand growth.",$57K-$85K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Social Worker,Child Welfare Worker,BA,1 to 14 Years,Kinshasa,Democratic Republic Of Congo,Full-Time,"Work with at-risk children and families, assess needs, provide support, and ensure child safety and well-being.",$58K-$126K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Marketing Director,Brand Director,M.Tech,4 to 12 Years,Ngerulmud,Palau,Intern,"Brand Directors oversee brand management and strategy. They ensure brand consistency, guide marketing initiatives, and work to enhance brand perception and recognition.",$55K-$94K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
UX/UI Designer,User Interface Designer,PhD,4 to 12 Years,Gaborone,Botswana,Part-Time,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",$65K-$81K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Supply Chain Analyst,Logistics Analyst,BBA,4 to 14 Years,Ljubljana,Slovenia,Temporary,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",$56K-$110K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Supply Chain Manager,Demand Planner,PhD,1 to 9 Years,Ljubljana,Slovenia,Full-Time,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,$55K-$106K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Structural Engineer,Design Engineer,BBA,4 to 11 Years,"Capitol Hill, Saipan",Northern Mariana Islands,Part-Time,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market.",$65K-$111K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Technical Writer,Documentation Specialist,M.Com,2 to 8 Years,Vilnius,Lithuania,Part-Time,"Documentation Specialists create and manage documents, manuals, or technical materials. They ensure accuracy, consistency, and accessibility of documentation.",$55K-$95K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Inventory Analyst,Inventory Control Specialist,M.Com,0 to 12 Years,Wellington,New Zealand,Temporary,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.",$60K-$120K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Mechanical Designer,HVAC Systems Designer,BA,2 to 11 Years,Ankara,Turkey,Part-Time,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.",$55K-$97K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Software Tester,Performance Tester,BBA,4 to 12 Years,Helsinki,Finland,Contract,A Performance Tester assesses the performance and scalability of software applications. They conduct load and stress testing to identify bottlenecks and optimize performance.,$57K-$118K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Account Director,Business Development Director,BA,0 to 13 Years,Vientiane,Lao PDR,Contract,"Business Development Directors lead efforts to identify and pursue new business opportunities. They develop growth strategies, build relationships with clients, and oversee business development teams to achieve revenue and expansion goals.",$65K-$102K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Purchasing Agent,Supply Chain Coordinator,PhD,2 to 15 Years,The City of Hamilton,Bermuda,Intern,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",$58K-$102K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Marketing Manager,Product Marketing Manager,BA,1 to 13 Years,Quito,Ecuador,Part-Time,"Product Marketing Managers promote and market products or services. They create marketing strategies, conduct market research, develop messaging, and collaborate with cross-functional teams to launch and promote products effectively in the market.",$64K-$126K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Software Engineer,Frontend Developer,MCA,1 to 15 Years,Podgorica,Montenegro,Part-Time,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",$56K-$124K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Legal Counsel,Corporate Attorney,M.Com,1 to 10 Years,Dushanbe,Tajikistan,Contract,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.",$55K-$129K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Legal Counsel,Intellectual Property Lawyer,M.Com,2 to 12 Years,San Jose,Costa Rica,Full-Time,"An Intellectual Property Lawyer specializes in protecting and managing intellectual property rights, including patents, trademarks, and copyrights. They provide legal advice, handle trademark registration, patent applications, and enforce IP rights.",$61K-$90K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Physician Assistant,Emergency Medicine Physician Assistant,PhD,1 to 9 Years,Road Town,British Virgin Islands,Contract,"Work in emergency departments, diagnose and treat acute medical conditions, and provide urgent care.",$60K-$123K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Physical Therapist,Pediatric Physical Therapist,PhD,0 to 11 Years,Brazzaville,Republic Of Congo,Temporary,"Specialize in providing physical therapy to children, addressing developmental and mobility issues.",$56K-$92K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Legal Advisor,In-House Counsel,BA,5 to 13 Years,Kinshasa,Democratic Republic Of Congo,Contract,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.",$61K-$95K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
SEM Specialist,SEM Analyst,M.Com,1 to 9 Years,Brasilia,Brazil,Intern,"SEM Analysts analyze search engine marketing (SEM) campaigns. They monitor performance, optimize keyword strategies, and provide insights to improve the effectiveness of SEM efforts.",$58K-$91K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Research Analyst,Data Analyst Researcher,BA,2 to 15 Years,Yamoussoukro,Cote d'Ivoire,Intern,A Data Analyst Researcher conducts research and analysis using data to support academic or scientific inquiries. They contribute to research projects and publish findings.,$60K-$98K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Family Nurse Practitioner,Geriatric Nurse Practitioner,M.Tech,1 to 12 Years,Saint John's,Antigua and Barbuda,Intern,Geriatric Nurse Practitioners focus on the healthcare needs of elderly patients. They provide specialized care and address age-related health concerns.,$63K-$84K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Project Coordinator,Administrative Coordinator,MCA,2 to 14 Years,Ulaanbaatar,Mongolia,Intern,"Administrative Coordinators support administrative tasks, including data entry, scheduling, and document management, to enhance organizational efficiency.",$64K-$93K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Architectural Designer,Architectural Drafter,MCA,2 to 9 Years,Doha,Qatar,Contract,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.,$61K-$121K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
UX/UI Designer,User Interface Designer,M.Com,5 to 15 Years,Kathmandu,Nepal,Intern,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",$63K-$88K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Public Relations Specialist,Media Relations Specialist,M.Com,4 to 13 Years,Victoria,Seychelles,Contract,"Media Relations Specialists manage relationships with media outlets, crafting press releases, organizing media coverage, and handling public relations efforts.",$57K-$120K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Wedding Planner,Wedding Designer,M.Com,5 to 15 Years,Gitega,Burundi,Temporary,"A Wedding Designer specializes in creating visually appealing wedding designs and décor, transforming wedding venues into beautiful and memorable spaces.",$62K-$87K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Project Manager,IT Project Manager,BA,2 to 11 Years,Kabul,Afghanistan,Intern,"IT Project Managers plan, execute, and oversee IT projects. They define project scope, allocate resources, manage budgets, and ensure projects are delivered on time and within scope. They also communicate project status and risks to stakeholders.",$56K-$117K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Market Research Analyst,Market Researcher,B.Com,2 to 15 Years,ReykjavÃ­k,Iceland,Temporary,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",$65K-$121K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
HR Coordinator,Training Coordinator,M.Com,0 to 10 Years,Singapore,Singapore,Contract,"Training Coordinators design and implement employee training programs. They assess training needs, develop training materials, and facilitate training sessions to enhance employees skills and knowledge.",$62K-$112K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
QA Analyst,Performance Testing Specialist,MBA,1 to 8 Years,Philipsburg,Sint Maarten (Dutch part),Part-Time,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",$58K-$84K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Chemical Analyst,Quality Control Analyst,MBA,1 to 12 Years,Saint John's,Antigua and Barbuda,Contract,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",$55K-$93K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Marketing Director,Digital Marketing Director,BBA,2 to 14 Years,Vilnius,Lithuania,Full-Time,"Digital Marketing Directors lead digital marketing efforts. They develop and execute digital strategies, oversee campaigns, and measure performance to achieve marketing goals.",$59K-$109K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Executive Assistant,Personal Assistant,M.Com,0 to 11 Years,Yaren District (de facto),Nauru,Contract,"A Personal Assistant provides administrative support to individuals or executives. Their duties include managing schedules, arranging meetings, handling correspondence, and performing various tasks to enhance efficiency.",$61K-$97K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
UX/UI Designer,User Interface Designer,B.Com,0 to 11 Years,Tripoli,Libya,Part-Time,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",$59K-$95K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Office Manager,Facilities Manager,B.Tech,5 to 10 Years,Bissau,Guinea-Bissau,Intern,"Facilities Managers manage facilities and building operations. They oversee maintenance, security, and facility improvements to provide a safe and efficient working environment.",$62K-$114K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Finance Manager,Accounting Manager,PhD,2 to 15 Years,Thimphu,Bhutan,Temporary,"Accounting Managers supervise accounting teams. They ensure accurate financial reporting, manage budgets, and oversee financial transactions and compliance with accounting standards.",$56K-$127K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Investment Analyst,Portfolio Manager,BA,5 to 8 Years,AsunciÃ³n,Paraguay,Full-Time,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly.",$58K-$81K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Legal Assistant,Paralegal,BA,3 to 9 Years,Panama City,Panama,Contract,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.",$65K-$111K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Software Tester,Quality Assurance Analyst,B.Tech,0 to 13 Years,Lisbon,Portugal,Part-Time,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.",$62K-$129K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Digital Marketing Specialist,SEO Specialist,MBA,5 to 10 Years,Wellington,New Zealand,Full-Time,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.",$62K-$107K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Product Designer,Industrial Designer,M.Tech,4 to 11 Years,Naypyidaw,Myanmar,Full-Time,"An Industrial Designer creates and improves product designs, focusing on aesthetics, functionality, and user experience to produce innovative and marketable products.",$59K-$120K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Pediatrician,Pediatric Surgeon,B.Tech,3 to 12 Years,Praia,Cabo Verde,Intern,"Pediatric Surgeons specialize in performing surgical procedures on children, including infants and adolescents. They diagnose surgical conditions, perform surgeries, and collaborate with other healthcare professionals to ensure the best outcomes.",$64K-$130K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Network Administrator,Systems Administrator,B.Tech,2 to 15 Years,Sofia,Bulgaria,Temporary,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.",$60K-$122K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Accountant,Tax Accountant,BCA,2 to 13 Years,City of Baghdad,Iraq,Contract,"Tax Accountants specialize in tax-related matters. They prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. They stay updated on tax codes and advise organizations on tax strategies.",$64K-$117K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Human Resources Manager,Employee Relations Specialist,BBA,0 to 14 Years,Santiago,Chile,Temporary,"Employee Relations Specialists focus on maintaining positive relationships between employees and the organization. They address workplace issues, conduct investigations, mediate conflicts, and promote a healthy and productive work environment.",$56K-$113K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Software Engineer,Frontend Developer,MBA,5 to 14 Years,Valletta,Malta,Temporary,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",$63K-$109K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Nurse Manager,Nurse Educator,BA,1 to 8 Years,Havana,Cuba,Full-Time,"Nurse Educators are responsible for teaching and mentoring nursing students and healthcare professionals. They develop and deliver educational programs, assess learning outcomes, and ensure the competence of nursing staff.",$58K-$115K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Investment Analyst,Portfolio Manager,M.Com,3 to 13 Years,Majuro,Marshall Islands,Part-Time,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly.",$65K-$121K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Pharmaceutical Sales Representative,Sales Representative,B.Com,2 to 11 Years,Dushanbe,Tajikistan,Full-Time,"Sales Representatives promote and sell products or services to customers, build relationships, and meet sales targets through effective communication and negotiation.",$63K-$124K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Supply Chain Manager,Logistics Manager,BA,0 to 14 Years,Sanaa,Yemen,Intern,"A Logistics Manager oversees the movement and storage of goods in a supply chain. They plan, implement, and manage the efficient transportation and distribution of products.",$57K-$127K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Procurement Coordinator,Purchasing Coordinator,BBA,5 to 15 Years,Helsinki,Finland,Full-Time,"Purchasing Coordinators manage procurement processes. They source and purchase goods and services, negotiate with suppliers, and ensure cost-effective and timely acquisitions.",$60K-$80K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Electrical Designer,Electrical Engineer,BCA,4 to 8 Years,Vienna,Austria,Intern,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",$62K-$113K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Marketing Director,Marketing Communications Director,BBA,0 to 13 Years,Freetown,Sierra Leone,Full-Time,"Marketing Communications Directors manage marketing communication efforts. They oversee messaging, branding, and promotional activities to effectively reach target audiences.",$60K-$128K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Dental Hygienist,Periodontal Therapist,B.Tech,2 to 8 Years,Monaco,Monaco,Temporary,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.,$64K-$108K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Marketing Manager,Product Marketing Manager,M.Tech,3 to 8 Years,Lima,Peru,Full-Time,"Product Marketing Managers promote and market products or services. They create marketing strategies, conduct market research, develop messaging, and collaborate with cross-functional teams to launch and promote products effectively in the market.",$65K-$115K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Inventory Analyst,Inventory Control Specialist,M.Tech,5 to 10 Years,Gaza,West Bank and Gaza,Temporary,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.",$61K-$122K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Network Administrator,Network Engineer,M.Com,0 to 15 Years,Port Moresby,Papua New Guinea,Part-Time,"Design, implement, and maintain computer networks, troubleshoot network issues, and ensure network performance and security.",$63K-$122K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Nurse Practitioner,Family Nurse Practitioner,B.Com,5 to 14 Years,Cockburn Town,Turks and Caicos Islands,Full-Time,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.",$60K-$100K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Electrical Designer,Lighting Designer,BCA,0 to 11 Years,Basseterre,St. Kitts and Nevis,Temporary,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",$65K-$96K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Substance Abuse Counselor,Recovery Coach,M.Tech,3 to 12 Years,Havana,Cuba,Full-Time,"A Recovery Coach offers guidance and support to individuals in addiction recovery, aiding in their journey toward sobriety and helping them build a stable and fulfilling life.",$63K-$99K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Architectural Designer,Interior Designer,B.Tech,4 to 13 Years,Paris,France,Part-Time,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.",$64K-$107K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Product Manager,Agile Product Owner,BBA,0 to 12 Years,Bucharest,Romania,Temporary,"Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.",$65K-$98K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Aerospace Engineer,Aircraft Design Engineer,B.Tech,4 to 11 Years,Rabat,Morocco,Part-Time,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency.",$58K-$95K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Accountant,Tax Accountant,BCA,2 to 14 Years,Buenos Aires,Argentina,Full-Time,"Tax Accountants specialize in tax-related matters. They prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. They stay updated on tax codes and advise organizations on tax strategies.",$57K-$110K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Network Security Specialist,Security Operations Center (SOC) Analyst,BBA,1 to 10 Years,Dushanbe,Tajikistan,Part-Time,"SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets.",$60K-$100K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Purchasing Agent,Supply Chain Coordinator,MCA,0 to 11 Years,Canberra,Australia,Part-Time,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",$56K-$90K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Art Teacher,Fine Arts Instructor,MBA,2 to 12 Years,Damascus,Syrian Arab Republic,Full-Time,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity.",$55K-$89K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Brand Ambassador,Brand Promoter,B.Tech,1 to 13 Years,Beijing,China,Full-Time,"Brand Promoters are responsible for promoting a companys brand or products. They engage with the target audience, create marketing strategies, and build brand awareness.",$61K-$123K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Inventory Analyst,Inventory Control Specialist,PhD,3 to 10 Years,Kingston,Jamaica,Contract,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.",$57K-$116K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
